tweet_id,retweet_count,favourite_count
828376505180889089,1034,7216
828372645993398273,2829,12282
828361771580813312,172,2131
828046555563323392,2760,11445
828011680017821696,2087,10107
827933404142436356,5069,19562
827653905312006145,2917,15122
827600520311402496,906,7289
827324948884643840,2924,15453
827199976799354881,2148,10321
826958653328592898,4813,21023
826848821049180160,9794,35317
826615380357632002,3851,0
826598799820865537,241,5015
826598365270007810,2271,9767
826476773533745153,4053,17967
826240494070030336,2524,12957
826204788643753985,884,4760
826115272272650244,3000,15275
825876512159186944,1796,10243
825829644528148480,2423,12462
825535076884762624,17033,55724
825147591692263424,4384,17860
825120256414846976,1210,0
825026590719483904,1210,6123
824796380199809024,5341,0
824775126675836928,3390,14579
824663926340194305,1708,10284
824325613288833024,10274,11559
824297048279236611,3729,14707
824025158776213504,581,4725
823939628516474880,2635,10406
823719002937630720,10816,0
823699002998870016,2441,13658
823581115634085888,2538,12728
823333489516937216,22,688
823322678127919110,3881,15379
823269594223824897,9598,0
822975315408461824,3340,16950
822872901745569793,41824,128603
822859134160621569,2199,12936
822647212903690241,6199,0
822610361945911296,2844,14479
822489057087389700,6199,17734
822462944365645825,13803,27293
822244816520155136,9598,34230
822163064745328640,4595,0
821886076407029760,2237,11072
821813639212650496,3270,0
821765923262631936,1614,8208
821522889702862852,1700,7867
821421320206483457,5396,0
821407182352777218,4182,11495
821153421864615936,10,248
821149554670182400,1894,8428
821107785811234820,2065,9395
821044531881721856,2211,12402
820837357901512704,6512,0
820749716845686786,9594,30879
820690176645140481,3138,11981
820494788566847489,548,0
820446719150292993,2488,0
820314633777061888,548,3282
820078625395449857,6110,19384
820013781606658049,1136,0
819952236453363712,1136,5211
819924195358416896,4744,12669
819711362133872643,3022,13108
819588359383371776,1941,9464
819347104292290561,1173,7082
819238181065359361,398,2208
819227688460238848,6512,22576
819015337530290176,36026,0
819015331746349057,18547,0
819006400881917954,18547,44509
819004803107983360,36026,85426
818646164899774465,20343,0
818627210458333184,7347,21974
818614493328580609,2459,9639
818588835076603904,5950,0
818536468981415936,2380,10636
818307523543449600,7832,0
818259473185828864,2190,10787
818145370475810820,2479,12038
817908911860748288,773,4760
817827839487737858,26326,50524
817777686764523521,2606,10545
817536400337801217,2868,11542
817502432452313088,3295,0
817423860136083457,14239,33089
817415592588222464,924,5489
817181837579653120,8209,0
817171292965273600,1968,8601
817120970343411712,2523,11973
817056546584727552,1596,8428
816829038950027264,4586,0
816816676327063552,1972,9804
816697700272001025,2134,9594
816450570814898180,7832,29789
816336735214911488,1893,8439
816091915477250048,2075,8767
816062466425819140,986,0
816014286006976512,5112,0
815990720817401858,986,4851
815966073409433600,8209,21948
815745968457060357,4023,0
815736392542261248,2210,9666
815639385530101762,1605,8065
815390420867969024,3712,10157
814986499976527872,1242,7522
814638523311648768,2636,11074
814578408554463233,5687,0
814530161257443328,1821,8479
814153002265309185,8454,28215
813944609378369540,3106,0
813910438903693312,1812,9155
813812741911748608,13625,35831
813800681631023104,1711,8180
813217897535406080,7126,18309
813202720496779264,1774,9083
813187593374461952,4235,19512
813172488309972993,1889,9111
813157409116065792,2148,7627
813142292504645637,2334,8351
813130366689148928,434,4418
813127251579564032,3036,11593
813112105746448384,2667,10124
813096984823349248,3539,10390
813081950185472002,2721,9736
813066809284972545,1902,7794
813051746834595840,7186,20598
812781120811126785,1857,7411
812709060537683968,1409,6509
812503143955202048,1191,5957
812466873996607488,1879,7835
812372279581671427,3581,13423
811985624773361665,1370,7145
811744202451197953,1552,7408
811647686436880384,721,5515
811627233043480576,2989,12514
811386762094317568,6240,20574
810984652412424192,1392,5225
810896069567610880,1721,8855
810657578271330305,2567,10778
810284430598270976,10974,34600
810254108431155201,3304,14474
809920764300447744,3851,15312
809808892968534016,4793,0
809448704142938112,1428,6839
809220051211603969,5464,19576
809084759137812480,3448,13012
808838249661788160,2975,9961
808733504066486276,2111,7772
808501579447930884,2551,11124
808344865868283904,20343,41783
808134635716833280,5777,0
808106460588765185,2155,8667
808001312164028416,3460,12323
807621403335917568,3535,14364
807106840509214720,54077,116109
807059379405148160,7165,0
807010152071229440,3787,12920
806629075125202948,33844,73342
806620845233815552,5405,0
806576416489959424,1916,4817
806542213899489280,2306,10059
806242860592926720,11371,0
806219024703037440,1171,6357
805958939288408065,5248,0
805932879469572096,1884,8175
805826884734976000,1782,6473
805823200554876929,7826,0
805520635690676224,1623,5668
